,perf,st_dev,max_dd,sharpe,calmar,weeks
VA_gross,0.13638113743708158,0.19128404589879544,-0.25415688369074896,0.7129770640110682,0.5366021783735213,708.0
VA_net10,0.11742743772517628,0.19154751237583384,-0.27052085629156664,0.6130460075867383,0.434079055252632,708.0
VA_net25,0.08956940011398595,0.19197717546802678,-0.2944117440942531,0.46656275620068943,0.30423174995801516,708.0
B1_deposits,0.009632967975193418,0.08615965572423648,-0.4925017206616712,0.1118036962221019,0.019559257503205512,708.0
B2_SHY_TL,0.037434730737268884,0.16642676110440696,-0.41540484444714076,0.2249321592804681,0.09011625944586778,708.0
B3_GLD_TL,0.08687181519143583,0.21254789270801436,-0.2952370042153827,0.40871642661155505,0.2942443323536121,708.0
B4_BIST,0.01622474416294728,0.260039634318311,-0.4599765802025495,0.06239335094236746,0.03527297880210065,708.0
B5_EW,0.09262129698486854,0.16673112170711846,-0.28128152064251055,0.5555129482519048,0.3292832631638956,708.0
B6_50_50,0.021348266299968,0.14570643205893316,-0.24655997460230006,0.14651560674640204,0.08658447639120113,708.0
VB_net10,0.11259955269143007,0.19705541202609236,-0.3381962750071821,0.5714106074717735,0.33294143375481844,706.0
